Kurzname;Artikel Nominativ Singular;Artikel Genitiv Singular;Artikel Dativ Singular;Artikel Akusativ Singular;Artikel NomSin + Parteiname;Artikel GenSin + Parteiname;Artikel DatSin + Parteiname;Artikel AkuSin + Parteiname;Partei für Schlagzeile;Pronomen;liegen
SPD;die;der;der;die;die SPD;der SPD;der SPD;die SPD;SPD;sie;liegt
AfD;die;der;der;die;die AfD;der AfD;der AfD;die AfD;AfD;sie;liegt
CDU;die;der;der;die;die CDU;der CDU;der CDU;die CDU;CDU;sie;liegt
Linke;;;;;Die Linke;der Linken;der Linken;die Linke;Linke;sie;liegen
FDP;die;der;der;die;die FDP;der FDP;der FDP;die FDP;FDP;sie;liegt
Grüne;die;der;der;die;die Grünen;der Grünen;den Grünen;die Grünen;Grüne;sie;liegen
Tierschutzpartei;die;der;der;die;die Tierschutzpartei;der Tierschutzpartei;der Tierschutzpartei;die Tierschutzpartei;Tierschutzpartei;sie ;liegt
FW-PB;die;der;der;die;die Freien Wähler;der Freien Wähler;den Freien Wählern;die Freien Wähler;Freie Wähler;sie;liegen
Volt;die Partei;der Partei;der Partei;die Partei;die Partei Volt;der Partei Volt;der Partei Volt;die Partei Volt;Volt;sie;liegt
MLPD;die;der;der;die;die MLPD;der MLPD;der MLPD;die MLPD;MLPD;sie;liegt
Bündnis Deutschland;das;des;dem;das;das Bündnis Deutschland;des Bündnis Deutschland;dem Bündnis Deutschland;das Bündnis Deutschland;Bündnis Deutschland;es;liegt
BSW;das;des;dem;das;das BSW;des BSW;dem BSW;das BSW;BSW;es;liegt
dieBasis LV;die Partei;der Partei;der Partei;die Partei;die Partei dieBasis;der Partei dieBasis;der Partei dieBasis;die Partei dieBasis;dieBasis;sie;liegt
